match_id,league_name,match_time,home_team,away_team,final_score,bookmaker,init_win,init_draw,init_lose,final_win,final_draw,final_lose
1877308,法国甲组联赛,2020-11-08T04:00:00,巴黎圣日尔曼,雷恩,3-0,Bet 365,1.3,6,8.5,1.44,4.75,6
1877308,法国甲组联赛,2020-11-08T04:00:00,巴黎圣日尔曼,雷恩,3-0,Easybets,1.21,7,12,1.49,4.6,6.1
1877308,法国甲组联赛,2020-11-08T04:00:00,巴黎圣日尔曼,雷恩,3-0,Lottery Official,1.28,4.65,7,1.3,4.6,6.55
1877308,法国甲组联赛,2020-11-08T04:00:00,巴黎圣日尔曼,雷恩,3-0,Macauslot,1.21,5.8,9,1.42,4.28,5.78
1877308,法国甲组联赛,2020-11-08T04:00:00,巴黎圣日尔曼,雷恩,3-0,William Hill,1.22,6,13,1.44,4.6,6.5
1877368,法国甲组联赛,2020-12-20T22:00:00,圣埃蒂安,尼姆,2月2日,Bet 365,1.85,3.6,4.2,1.45,4.5,7.5
1877368,法国甲组联赛,2020-12-20T22:00:00,圣埃蒂安,尼姆,2月2日,Lottery Official,1.46,3.65,5.6,1.34,4.05,6.85
1877368,法国甲组联赛,2020-12-20T22:00:00,圣埃蒂安,尼姆,2月2日,Macauslot,1.58,3.62,4.95,1.45,4,5.85
1877368,法国甲组联赛,2020-12-20T22:00:00,圣埃蒂安,尼姆,2月2日,William Hill,1.85,3.7,4,1.44,4.2,7.5
1877389,法国甲组联赛,2021-01-07T02:00:00,斯特拉斯堡,尼姆,5-0,Bet 365,2,3.1,4.2,1.44,4.5,7
1877389,法国甲组联赛,2021-01-07T02:00:00,斯特拉斯堡,尼姆,5-0,Easybets,1.54,4.2,6.2,1.49,4.2,7
1877389,法国甲组联赛,2021-01-07T02:00:00,斯特拉斯堡,尼姆,5-0,Macauslot,1.48,3.75,5.8,1.38,4.1,6.85
1877389,法国甲组联赛,2021-01-07T02:00:00,斯特拉斯堡,尼姆,5-0,William Hill,1.75,3.5,5,1.44,4.33,7
1877405,法国甲组联赛,2021-01-16T23:59:00,马赛,尼姆,1月2日,Bet 365,1.36,5,7.5,1.45,4.5,6.5
1877405,法国甲组联赛,2021-01-16T23:59:00,马赛,尼姆,1月2日,Easybets,1.41,4.8,7.5,1.4,5,7.5
1877405,法国甲组联赛,2021-01-16T23:59:00,马赛,尼姆,1月2日,Lottery Official,1.3,4.25,7.4,1.3,4.25,7.4
1877405,法国甲组联赛,2021-01-16T23:59:00,马赛,尼姆,1月2日,Macauslot,1.28,4.85,7.8,1.35,4.55,6.6
1877405,法国甲组联赛,2021-01-16T23:59:00,马赛,尼姆,1月2日,William Hill,1.35,4.8,9,1.44,4.33,7
1877434,法国甲组联赛,2021-02-04T04:00:00,摩纳哥,尼斯,2月1日,Bet 365,1.57,3.8,5,1.45,4.75,6
1877434,法国甲组联赛,2021-02-04T04:00:00,摩纳哥,尼斯,2月1日,Easybets,1.5,4.6,6.1,1.49,4.5,6.3
1877434,法国甲组联赛,2021-02-04T04:00:00,摩纳哥,尼斯,2月1日,Lottery Official,1.39,4,6,1.35,4.15,6.35
1877434,法国甲组联赛,2021-02-04T04:00:00,摩纳哥,尼斯,2月1日,Macauslot,1.48,4.15,5,1.48,4.15,5
1877434,法国甲组联赛,2021-02-04T04:00:00,摩纳哥,尼斯,2月1日,William Hill,1.57,4.2,5.5,1.44,4.4,7
1877476,法国甲组联赛,2021-02-28T20:00:00,摩纳哥,布雷斯特,2-0,Bet 365,1.45,4.75,6,1.4,4.75,7.5
1877476,法国甲组联赛,2021-02-28T20:00:00,摩纳哥,布雷斯特,2-0,Easybets,1.48,4.6,5.4,1.43,4.8,6.8
1877476,法国甲组联赛,2021-02-28T20:00:00,摩纳哥,布雷斯特,2-0,Lottery Official,1.35,4.3,6.05,1.27,4.8,7
1877476,法国甲组联赛,2021-02-28T20:00:00,摩纳哥,布雷斯特,2-0,Macauslot,1.43,4.45,5.25,1.4,4.5,5.6
1877476,法国甲组联赛,2021-02-28T20:00:00,摩纳哥,布雷斯特,2-0,William Hill,1.5,4.4,6.5,1.44,4.5,7
1877574,法国甲组联赛,2021-05-17T03:00:00,马赛,昂热,3月2日,Bet 365,1.65,3.8,5,1.44,4.2,8
1877574,法国甲组联赛,2021-05-17T03:00:00,马赛,昂热,3月2日,Easybets,1.46,4.5,7,1.46,4.4,7.2
1877574,法国甲组联赛,2021-05-17T03:00:00,马赛,昂热,3月2日,Macauslot,1.38,4.25,6.6,1.38,4.25,6.6
1877574,法国甲组联赛,2021-05-17T03:00:00,马赛,昂热,3月2日,William Hill,1.5,4.33,6,1.44,4.2,8
1894562,德国甲组联赛,2020-09-26T21:30:00,门兴格拉德巴赫,柏林联合,1月1日,Bet 365,1.57,4,5.5,1.44,4.33,7.5
1894562,德国甲组联赛,2020-09-26T21:30:00,门兴格拉德巴赫,柏林联合,1月1日,Easybets,1.48,4.4,5.6,1.47,4.6,6.8
1894562,德国甲组联赛,2020-09-26T21:30:00,门兴格拉德巴赫,柏林联合,1月1日,Macauslot,1.45,4.25,5.5,1.45,4.25,5.5
